"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","x_norm","y_norm"
"791",765.440527594578,-1002.64394397474,794.224,36.533,28.415,28.298,36.533,"Polyethylene (PE)",98.74,"Comparstic Raman F2Ba Au IAEA 240930.csv",-5294.79036682964,-2840.96000879575
"330",2766.06605600853,-3763.33495291096,1093.788,39.537,36.969,36.969,39.781,"Polyamide (PA Nylon 12)",96.83,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3294.16483841569,-5601.65101773197
"30",3666.77809448242,2487.11289597603,438.471,23.95,23.95,23.651,24.507,"Polyamide (PA)",96.63,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2393.4527999418,648.796831155022
"454",1536.41329220288,383.155202536387,1996.93,105.231,29.38,29.38,99.314,"Polypropylene (PP)",96.54,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4523.81760222134,-1455.16086228462
"630",4810.32072076666,3682.32160477312,6329.736,147.861,65.828,65.828,148.421,"Polyethylene terephtalate (PET)",95.76,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1249.91017365756,1844.00553995211
"101",11956.3139998762,-3304.08088613014,1986.549,81.91,44.884,44.884,82.666,"Polyamide (PA)",95.48,"Comparstic Raman F2Ba Au IAEA 240930.csv",5896.08310545198,-5142.39695095115
"385",8649.11065147085,4906.23369274401,1112.902,47.709,39.739,39.739,48.305,"Cellulose Acetate Butyrate (CAB)",95.27,"Comparstic Raman F2Ba Au IAEA 240930.csv",2588.87975704663,3067.917627923
"247",6604.85598671272,5053.76906169735,1168.597,46.902,33.784,33.638,47.074,"Cellulose Acetate Butyrate (CAB)",95.26,"Comparstic Raman F2Ba Au IAEA 240930.csv",544.625092288502,3215.45299687634
"599",3216.13504145373,-4262.7737505351,653.34,31.764,28.187,28.187,32.605,"Cellulose Acetate Butyrate (CAB)",94.74,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2844.09585297049,-6101.08981535611
"316",5583.01568812539,4985.4550192637,400.078,31.574,18.944,18.592,32.117,"Polypropylene (PP)",94.64,"Comparstic Raman F2Ba Au IAEA 240930.csv",-477.215206298828,3147.13895444269
"395",1149.49174094004,1239.66403708262,514.927,26.407,25.833,24.783,29.774,"Polyamide (PA)",94.44,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4910.73915348418,-598.652027738388
"303",11747.353399491,535.85717974101,800.815,32.722,31.574,31.256,34.232,"Cellulose Acetate Butyrate (CAB)",94.29,"Comparstic Raman F2Ba Au IAEA 240930.csv",5687.12250506678,-1302.45888508
"690",2107.03647017805,980.185489351456,503.723,30.426,21.815,21.815,30.426,"Polyamide (PA)",94.11,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3953.19442424617,-858.130575469552
"106",5181.74244727565,1515.21647715111,712.66,32.274,28.897,28.703,33.87,"Cellulose Acetate Butyrate (CAB)",93.94,"Comparstic Raman F2Ba Au IAEA 240930.csv",-878.488447148568,-323.099587669898
"657",6476.26484801409,2663.35164410317,2253.323,80.059,35.944,35.944,80.058,"Polyamide (PA)",93.73,"Comparstic Raman F2Ba Au IAEA 240930.csv",416.033953589872,825.035579282162
"682",4663.93348698027,-4479.19722950557,761.434,32.722,29.852,29.194,36.533,"Polyacrylamide/acrylate",93.55,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1396.29740744395,-6317.51329432658
"476",5597.36737771229,6026.23954810574,377.339,32.131,16.616,16.616,31.574,"Cellulose Acetate Butyrate (CAB)",93.4,"Comparstic Raman F2Ba Au IAEA 240930.csv",-462.863516711927,4187.92348328473
"568",4731.09939424697,5871.24130056721,488.234,37.995,19.079,19.079,37.888,"Cellulose Acetate Butyrate (CAB)",93.35,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1329.13150017725,4032.9252357462
"620",4654.17433806118,1042.18478836687,644.277,43.424,21.146,21.146,43.388,"Cellulose Acetate Butyrate (CAB)",93.26,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1406.05655636304,-796.131276454138
"670",2775.25113734415,-1857.43057577055,447.369,32.605,18.998,18.998,32.605,"Cellulose Acetate Butyrate (CAB)",93.26,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3284.97975708007,-3695.74664059156
"363",5367.16627673841,6241.51489190925,348.668,27.555,17.796,17.033,29.524,"Cellulose Acetate Butyrate (CAB)",93.2,"Comparstic Raman F2Ba Au IAEA 240930.csv",-693.064617685808,4403.19882708824
"595",8254.15215403934,5832.20470489084,693.71,35.592,26.981,26.981,35.592,"Cellulose Acetate Butyrate (CAB)",93.09,"Comparstic Raman F2Ba Au IAEA 240930.csv",2193.92125961512,3993.88864006983
"360",2679.95591848713,2856.23835215111,91420.473,660.172,211.368,211.368,656.27,"Polyethylene terephtalate (PET)",93.07,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3380.27497593709,1017.9222873301
"179",400.333544503825,2322.35549951841,657.789,30.038,28.24,27.826,31.835,"Polyacrylamide/acrylate",93.05,"Comparstic Raman F2Ba Au IAEA 240930.csv",-5659.89734992039,484.039434697402
"319",9317.89938622042,1295.92266026327,987.013,37.866,34.207,34.207,39.037,"Cellulose Acetate Butyrate (CAB)",92.99,"Comparstic Raman F2Ba Au IAEA 240930.csv",3257.6684917962,-542.393404557738
"540",4659.91501389594,5924.055518247,929.176,65.932,19.271,19.271,64.953,"Cellulose Acetate Butyrate (CAB)",92.9,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1400.31588052828,4085.73945342599
"704",8472.29783576023,3616.87790025685,1859.341,75.74,33.749,33.749,75.736,"Polyethylene terephtalate (PET)",92.9,"Comparstic Raman F2Ba Au IAEA 240930.csv",2412.06694133601,1778.56183543584
